timestamp,ip,datum,tijd,versie,welkom,lezen-een,lezen-twee,enquete,bedankt,dialoog,intrekken,prettig,lezer,dialoog,,,
1482362930,213.93.210.230,2016-12-22,23:28:50,versiea,1,9,391,276,296,5,5,5,lezer,'Als Carmen de pub binnen komt, wordt ze omhelst door haar vader. Haar vader is blijkbaar al binnen. Maar wat deed hij daar dan? Stond hij te wachten? Zat hij al? Ik kon dat stukje niet in beelden omzetten. De rest wel!',,
1482386753,82168246202,2016-12-22,06:05:53,versiea,4,9,9,6,16,4,4,4,onbekend,'',,,
1482386883,82168246202,2016-12-22,06:08:03,versiea,3,3,5,5,0,0,0,0,'','',,,
1482400485,92.111.33.148,2016-12-22,09:54:45,versiea,1,0,0,0,0,0,0,0,'','',,,
1482400616,47.64.207.106,2016-12-22,09:56:56,versiea,5,20,629,504,60,4,5,6,lezer,'',,,
1482444379,86.84.94.82,2016-12-22,22:06:19,versiea,2,14,53,13,0,0,0,0,'','',,,
1482444473,86.84.94.82,2016-12-22,22:07:53,versiea,0,0,0,0,0,0,0,0,'','',,,
1482444480,86.84.94.82,2016-12-22,22:08:00,versiea,0,0,0,0,0,0,0,0,'','',,,
1482447614,84106141127,2016-12-23,23:00:14,versiea,0,6,1274,122,100,6,7,6,lezer,'Heel lekker leesbaar Ger, ik ga er zelfs te laat voor slapen, wilde het eerst lezen.... ,)'
1482316474,83162211227,2016-12-21,10:34:34,versieb,3,0,0,0,0,0,0,0,'','',,,
,,,,,,,,,,"5,1666666667","5,5833333333","5,5833333333",,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,
1482317106,83161159178,2016-12-21,10:45:06,versieb,0,7396,116,128,19,7,7,7,lezer,'',,,
1482318173,84.197.149.67,2016-12-21,11:02:53,versieb,7,0,0,0,0,0,0,0,'','',,,
1482319891,89.200.15.203,2016-12-21,11:31:31,versieb,4,7,18,22,0,0,0,0,'','',,,
1482321661,95.96.224.212,2016-12-21,12:01:01,versieb,34548,0,0,0,0,0,0,0,'','',,,
1482322314,62.140.137.90,2016-12-21,12:11:54,versieb,6,0,0,0,0,0,0,0,'','',,,
1482324730,109.69.228.215,2016-12-21,12:52:10,versieb,1,0,0,0,0,0,0,0,'','',,,
1482329537,84.196.114.89,2016-12-21,14:12:17,versieb,17,0,0,0,0,0,0,0,'','',,,
1482332247,84.86.78.155,2016-12-21,14:57:27,versieb,1,0,0,0,0,0,0,0,'','',,,
1482333158,84.196.114.89,2016-12-21,15:12:38,versieb,12,8,137,355,144,6,6,6,lezer,'',,,
1482333836,84.196.114.89,2016-12-21,15:23:56,versieb,5,4,6,3,0,0,0,0,'','',,,
1482334016,117.7.239.6,2016-12-21,15:26:56,versieb,21611,11,100,94,0,0,0,0,'','',,,
1482340668,84.24.63.206,2016-12-21,17:17:48,versieb,29,0,0,0,0,0,0,0,'','',,,
1482345538,81.206.13.13,2016-12-21,18:38:58,versieb,0,2,13,0,0,0,0,0,'','',,,
1482351794,121.99.197.190,2016-12-21,20:23:14,versieb,0,7,153,121,18,6,7,7,lezer,'',,,
1482364191,89.99.220.155,2016-12-22,23:49:51,versieb,0,9,176,138,20,4,4,4,schrijver,'',,,
1482372278,82.95.205.215,2016-12-22,02:04:38,versieb,1,0,0,0,0,0,0,0,'','',,,
1482389774,77.169.200.17,2016-12-22,06:56:14,versieb,3,0,0,0,0,0,0,0,'','',,,
1482431216,89205226149,2016-12-22,18:26:56,versieb,7,8,266,169,0,0,0,0,'','',,,
1482473688,84.107.125.19,2016-12-23,06:14:48,versieb,16,0,0,0,0,0,0,0,'','',,,
1482478326,84.27.50.174,2016-12-23,07:32:06,versieb,0,6,190,128,33,5,6,7,lezer,'',,,
,,,,,,,,,,"5,6944444444","6,0972222222","5,9305555556",,,,,
